trial_name,plot_name,plot_id,accession_name,block_number,talhao_number,plot_number,plant_number,is_a_control,rep_number,row_number,col_number,Idade,Anthractnose,ManchaBranca,ManchaParda,QueimaFolhas
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.PotiBranca.2,2987593,BRS-Poti Branca,1,1,2,1,1,1,2,1,16,1,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.PotiBranca.2,2987593,BRS-Poti Branca,1,1,2,2,1,1,2,1,16,1,0,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.PotiBranca.2,2987593,BRS-Poti Branca,1,1,2,3,1,1,2,1,16,1,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-41.9,2987641,BR-11-34-41,1,1,9,1,1,1,9,1,16,2,0,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-41.9,2987641,BR-11-34-41,1,1,9,2,1,1,9,1,16,3,0,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-41.9,2987641,BR-11-34-41,1,1,9,3,1,1,9,1,16,3,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-45.12,2987453,BR-11-34-45,1,1,12,1,1,1,11,2,16,2,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-45.12,2987453,BR-11-34-45,1,1,12,2,1,1,11,2,16,2,1,4,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-45.12,2987453,BR-11-34-45,1,1,12,3,1,1,11,2,16,2,1,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Caipira.22,2988324,BRS-Caipira,1,1,22,1,1,1,1,2,16,4,2,3,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Caipira.22,2988324,BRS-Caipira,1,1,22,2,1,1,1,2,16,4,2,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Caipira.22,2988324,BRS-Caipira,1,1,22,3,1,1,1,2,16,4,1,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Dourada.30,2988864,BRS-Dourada,1,1,30,1,1,1,8,3,16,3,1,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Dourada.30,2988864,BRS-Dourada,1,1,30,2,1,1,8,3,16,3,1,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Dourada.30,2988864,BRS-Dourada,1,1,30,3,1,1,8,3,16,2,2,4,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Kiriris.36,2986983,BRS-Kiriris,1,1,36,1,1,1,9,4,16,4,1,3,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Kiriris.36,2986983,BRS-Kiriris,1,1,36,2,1,1,9,4,16,3,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Kiriris.36,2986983,BRS-Kiriris,1,1,36,3,1,1,9,4,16,3,1,2,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Tapioqueira.41,2988682,BRS-Tapioqueira,1,1,41,1,1,1,4,4,16,4,2,2,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Tapioqueira.41,2988682,BRS-Tapioqueira,1,1,41,2,1,1,4,4,16,3,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Tapioqueira.41,2988682,BRS-Tapioqueira,1,1,41,3,1,1,4,4,16,4,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.GemaOvo.63,2987277,BRS-Gema de Ovo,1,1,63,1,1,1,4,6,16,4,1,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.GemaOvo.63,2987277,BRS-Gema de Ovo,1,1,63,2,1,1,4,6,16,4,2,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.GemaOvo.63,2987277,BRS-Gema de Ovo,1,1,63,3,1,1,4,6,16,3,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Formosa.72,2987382,BRS-Formosa,1,1,72,1,1,1,6,7,16,2,0,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Formosa.72,2987382,BRS-Formosa,1,1,72,2,1,1,6,7,16,2,0,2,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Formosa.72,2987382,BRS-Formosa,1,1,72,3,1,1,6,7,16,2,0,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.NovoHorizonte.74,2987535,BRS-Novo Horizonte,1,1,74,1,1,1,8,7,16,3,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.NovoHorizonte.74,2987535,BRS-Novo Horizonte,1,1,74,2,1,1,8,7,16,3,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.NovoHorizonte.74,2987535,BRS-Novo Horizonte,1,1,74,3,1,1,8,7,16,2,1,2,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Am.Burro.79,2988878,BRS-Amansa Burro,1,1,79,1,1,1,10,8,16,4,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Am.Burro.79,2988878,BRS-Amansa Burro,1,1,79,2,1,1,10,8,16,4,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Am.Burro.79,2988878,BRS-Amansa Burro,1,1,79,3,1,1,10,8,16,4,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Corrente.96,2987829,BGM-2095,1,1,96,1,1,1,8,9,16,3,0,2,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Corrente.96,2987829,BGM-2095,1,1,96,2,1,1,8,9,16,3,0,2,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Corrente.96,2987829,BGM-2095,1,1,96,3,1,1,8,9,16,3,2,3,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.4271.102,2987188,BGM-2120,1,1,102,1,NA,1,9,10,16,3,1,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.4271.102,2987188,BGM-2120,1,1,102,2,NA,1,9,10,16,3,2,3,2
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.4271.102,2987188,BGM-2120,1,1,102,3,NA,1,9,10,16,3,2,3,3
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-64.108,2987550,BR-11-34-64,1,1,108,1,1,1,3,10,16,5,0,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-64.108,2987550,BR-11-34-64,1,1,108,2,1,1,3,10,16,5,0,4,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.2011-34-64.108,2987550,BR-11-34-64,1,1,108,3,1,1,3,10,16,4,1,3,4
BR.PTBAG.20.Candeal,BR.FTBAG.20.Candeal.Mulatinha.130,2986865,BRS-Mulatinha,1,1,130,1,1,1,3,12,16,2,3,4,4
