CLONE,Anth,BlLS,BrLS,WhLS,Vigor,NR,RF,DRY,DMC,PTR,PPA,SelInd
BGM-0049,3.11402114292416,3.29688188342428,3.31076246478258,1.40547032345764,3.2209524126192,6.94354300494348,1.85265235799944,8.57563240938913,36.8288081278593,33.5611878352036,38.6881289158674,158.893106520945
BGM-0901,3.13991827887619,3.21220117624195,3.24043984900604,1.36880294166027,3.32859016410458,8.52364887109682,1.80112403073685,8.36623454993013,35.6379044955485,31.7622190697796,30.7820446176138,158.700206853016
BRS-Novo Horizonte,3.16917827430161,3.3270681713021,3.33197779557657,1.45953433077628,3.49790909257741,9.22683443713857,1.88892348224262,8.49506866255773,36.5574358809447,32.6845846972278,34.044506200912,158.562883118805
BGM-0877,3.05937152776108,3.22667357850129,3.2783280376011,1.43297395573222,3.68902626764015,7.04510306095019,1.85960114772114,7.74012987905508,36.6843258338865,26.8301023871521,34.1393889150362,156.285291028449
BGM-1282,3.14722268062935,3.25705424636351,3.26446843943877,1.39016489194326,3.01993184367713,6.35211204690532,1.80865615085273,9.14869069920069,36.8523713642268,30.1646550854404,34.8327179778993,155.815412603003
BGM-1281,3.09889462996028,3.22810944184483,3.26446843943877,1.43294556799122,3.04270515359087,6.70020987116189,1.91280192621877,7.84739682198787,36.220547779085,29.6980213017831,24.8786274064542,150.244311466817
BGM-1626,3.08924061190125,3.22087786157082,3.2413048760965,1.33616622089754,2.7313537019147,7.96939790134669,1.82137279881881,7.9521947191466,35.2506291567394,33.804714332827,28.1864293618688,148.030422538412
BGM-1155,3.113313235833,3.2101622500339,3.22300981283425,1.45333319015817,3.06179605241643,6.39596806286728,1.89718375324289,7.11864118299211,36.6343695692478,26.81560544444,34.6096440081403,144.454030192307
BRS-Amansa Burro,3.18873593355865,3.31453132815765,3.32392834544931,1.43306096603203,3.29890772629092,8.63878348767135,1.88022583225876,8.4151467478553,36.9363231632274,28.5308942428864,28.6607965429948,141.438207249397
BGM-0337,3.00091509314627,3.29835231843204,3.31298728022331,1.30363914319951,2.93424679467288,5.53985517096392,1.94552131634284,7.86457818130765,34.6282190480039,31.0448148072477,21.950143142644,130.612891989839
BRS-Poti Branca,3.13051832647357,3.3180151535427,3.32990310578098,1.43985867133143,3.5803152018077,9.40976653028196,1.8397013093972,7.85157877432959,35.2838554544039,32.478857920455,33.9710177961244,128.784911766879
BGM-1165,3.17117502843747,3.32402100293387,3.33354286480505,1.43258142786958,3.29168912687494,6.66285882017125,1.85223048432791,8.48842294682336,37.1607217245685,28.828740863902,33.8019694593348,126.616247913001
BGM-2042,3.15497274053999,3.33610773917852,3.3499452801033,1.41753022743783,3.65885057851787,8.4557469796323,1.85504978589086,7.69877074876664,36.5523681996897,33.1771726597809,31.2573768861806,125.294099088009
BGM-2082,3.2355194916551,3.27821813014116,3.29942769530989,1.39613988941385,3.61276072860486,8.30334884365823,1.88464895482523,7.41304136464282,35.667080521765,35.2973744114184,25.4835434818987,123.334080928252
BGM-0665,3.14877476793844,3.20382296672889,3.23164021836445,1.35992980297279,3.03169440020157,6.76918514010216,1.9168909669687,6.88448143358562,35.9939823702355,20.3048647087522,29.7935727539037,123.229575552081
BGM-0120,3.16234919359322,3.31135428568362,3.31076246478258,1.38407998543366,2.78546468671646,7.51943380456052,1.90234722561067,8.52086421876956,33.6567277350601,33.1379897840712,33.5755330641388,122.005957835763
BGM-1359,3.08884551849349,3.20975146704552,3.24155151642588,1.37482928192645,3.2979755433477,8.55147490570827,1.89911118327526,6.11937291056886,35.6430233826913,21.8714281044256,24.6375907204522,118.457816747415
BGM-0058,3.09791179270114,3.25346467664626,3.27287427618752,1.42686066148163,3.36959179450856,8.32250228671012,1.8305062610607,7.31080325066569,34.1155427599171,33.2625117089958,30.6786348488337,117.464716873814
BGM-0264,3.10010492549949,3.20875279447037,3.23706176271952,1.31853354566611,2.79296844150081,6.42473036580437,1.85269378057353,7.40237066367683,36.0222419014098,20.3417758659553,26.3200421760814,117.113384701685
BGM-1163,3.06498518516393,3.23910705455258,3.26089800142931,1.34638150003825,3.11162586356215,6.50681373695891,1.8351902257392,7.37775792086933,36.0901013453774,24.3224785295532,24.9899898821693,116.601407556912
BGM-1638,3.18589671323938,3.36560188416422,3.31708125328661,1.50728892508939,3.6020400623658,7.55840222078054,1.9075530853395,7.39263935961002,37.0094132766203,28.1558880957088,32.9916688625877,113.689945416516
BGM-1715,3.21160404826186,3.24451112813006,3.2696188722316,1.38788902667625,3.20926613965811,8.83244786847349,1.85792442932038,7.36734136971408,35.3702446560883,25.7458140409735,26.9507265103756,111.971533528974
