CLONE	Anth	BlLS	BrLS	WhLS	Vigor	NR	RF	DRY	DMC	PTR	PPA
1	BGM-0004	3.211234791372	3.38138450293805	3.38615277875928	1.54974342263434	2.93967572953921	6.74021466600517	1.84519825937228	5.6333718851266	36.8698951634032	14.1219432845093	27.7665100049781
2	BGM-0005	3.27567219226408	3.38138450293805	3.38615277875928	1.61391443670629	2.36403738254842	4.46264069067205	1.85548179152569	4.61828289394208	35.2852240689999	8.04308289907188	16.6004299755153
3	BGM-0006	3.211234791372	3.33796729616003	3.36089398636257	1.61391443670629	2.62392448611599	6.69882008399896	1.8486760594396	5.62685710611352	34.684044078173	19.0293149143006	15.130737229005
4	BGM-0014	3.16234919359322	3.29688188342428	3.29813306858423	1.46964133752959	2.45932861298669	6.65544298781122	1.91445731941446	5.61154337387899	35.1729647578834	12.0711537300659	14.5843058047628
5	BGM-0018	3.04958374203207	3.29688188342428	3.29813306858423	1.3412993093857	3.40714806692326	6.89764789077307	1.82501533432655	6.61466341461159	36.1447369916768	21.4689973227588	33.2975259428151
6	BGM-0019	3.16234919359322	3.29688188342428	3.31076246478258	1.31990897136172	2.58843752215222	7.75400503658159	1.91824574164917	5.57092114403091	35.178253727041	16.8919018485911	21.0136776223857
7	BGM-0020	3.17845854381625	3.31135428568362	3.33602125717929	1.46964133752959	2.28832485312063	6.77156497527709	1.87729369769214	5.98622920841092	34.8639621426143	20.6245014025524	15.7695902995586
8	BGM-0021	3.17117951287464	3.35330689466165	3.36197933133745	1.47315453910131	2.58843752215222	7.3100473023865	1.79440765899679	6.15614793582107	35.7756503874259	22.8634049144381	27.3920413546738
9	BGM-0022	3.22678659448531	3.3402990902023	3.33602125717929	1.49103167555357	2.58843752215222	6.86223701401994	1.8064298203831	5.21685289237629	34.8613200717675	14.3665173814855	14.6512126429061
10	BGM-0023	3.09791179270114	3.32582668794296	3.34865065337764	1.5765930276495	2.18140399834892	7.20564799537523	1.79982347048785	6.96097041970388	34.5415717135943	25.1310921385656	29.1931576175558
11	BGM-0024	3.24289594470833	3.35477149246164	3.36128004957599	1.55520268962552	3.0009936993393	6.52175125621194	1.84084693999143	5.94531387289565	36.2743107048972	13.2444928136902	20.0599101750342
12	BGM-0025	3.2912239953774	3.39818869923966	3.39916823817105	1.53381235160154	2.96106530905163	6.9725164343848	1.81909558317764	5.1288556383268	34.4851996999928	18.9443743994083	26.1449365936011
13	BGM-0027	3.19456789403927	3.32582668794296	3.32339186098093	1.51242201357756	2.70117820548406	6.78418914301621	1.83587397058854	6.66248000167084	36.5350210714684	21.7686569629561	23.5636416054877
14	BGM-0028	3.16234919359322	3.2679370789056	3.29813306858423	1.44825099950561	2.80133613271881	6.48318658364954	1.7923604840104	4.60040252002704	36.0104959682721	10.3245380832615	14.4659181435072
15	BGM-0029	3.09791179270114	3.23899227438692	3.27287427618752	1.38407998543366	2.79471561074576	6.976807633932	1.80988741932834	5.41827617468661	34.6730355339371	17.0274093049961	24.0598295139269
16	BGM-0030	3.11402114292416	3.22451987212758	3.24761548379082	1.29851863333773	2.58843752215222	6.54853939919068	1.84084693999143	5.50800666342279	35.8813632213719	19.3994955600855	19.9629168753036
17	BGM-0032	3.1462398433702	3.35477149246164	3.36128004957599	1.38407998543366	2.38215943355868	6.57259240958394	1.8390427755175	5.78598983030063	34.9869021251082	16.8365990722043	19.904034576865
18	BGM-0036	3.09791179270114	3.2679370789056	3.28550367238588	1.46964133752959	2.17588134496514	7.03433760926779	1.84766827237967	6.15519797521238	35.6428992376086	20.2387518334029	21.980801929966
19	BGM-0037	3.04958374203207	3.2679370789056	3.29813306858423	1.44825099950561	2.38215943355868	7.22538054623194	1.82536717965989	5.32081029899042	35.6409451362136	17.3534741219706	16.7431610342444
20	BGM-0039	3.19456789403927	3.26754345760851	3.27287427618752	1.44825099950561	3.2209524126192	7.34917101712199	1.81909558317764	7.47179688827694	36.4260484019811	27.6478708619976	35.1443513666414
21	BGM-0040	3.17845854381625	3.31135428568362	3.33602125717929	1.38407998543366	2.93602853800355	7.40949432882554	1.84145543395096	5.79400794448143	34.4843352165969	19.8532353405878	20.9445944827416
22	BGM-0042	3.12743389521884	3.2829531594605	3.31037729429879	1.42960768104195	2.37575762395556	5.85902859091546	1.79718167887713	4.38133948080405	33.8716856769017	4.43683229379571	11.9211852371005
23	BGM-0044	3.19456789403927	3.3402990902023	3.37390944577434	1.53381235160154	2.64396498410749	5.36202128954118	1.89491935661817	6.99113459718281	34.9076227564518	22.5157462796292	21.4912559009996
24	BGM-0046	3.2912239953774	3.30791907555633	3.32259909699677	1.42744033630224	3.0009936993393	7.1914548306805	1.85632670032298	6.38726231454453	34.1434353180459	26.2150971564552	21.949873819786
25	BGM-0047	3.11402114292416	3.3402990902023	3.33602125717929	1.40547032345764	2.44129110191649	5.72077947203052	1.82853317266759	5.09122598274015	34.8665588470965	15.8003161225262	17.3610528552587
26	BGM-0048	3.21067724426229	3.3402990902023	3.34865065337764	1.44825099950561	2.70117820548406	7.15532418622295	1.85103111375614	5.20408062451799	35.1316793193368	19.4004180519694	19.2039718189509
27	BGM-0049	3.11402114292416	3.29688188342428	3.31076246478258	1.40547032345764	3.2209524126192	6.94354300494348	1.85265235799944	8.57563240938913	36.8288081278593	33.5611878352036	38.6881289158674
28	BGM-0050	3.11402114292416	3.29688188342428	3.31076246478258	1.31990897136172	2.79471561074576	7.5640475708502	1.89339964272179	5.76651056999038	35.262698764766	22.1052909474875	19.5473216146477
29	BGM-0052	3.09791179270114	3.29688188342428	3.33602125717929	1.36268964740968	2.44129110191649	6.7314230480467	1.78921143081865	6.50419195802658	34.7399737840034	19.9445851698633	15.9286212731705
30	BGM-0054	3.19456789403927	3.36924389472098	3.3865388419727	1.31990897136172	2.63033237285275	6.06889528484254	1.88693984451497	4.57998978024132	35.0256263190985	13.1437612122622	20.2599699253469
31	BGM-0056	3.04958374203207	3.2679370789056	3.28550367238588	1.31990897136172	3.0009936993393	6.92213341383775	1.7875082581334	6.84946939721364	34.9895353352771	29.9419490731265	23.5802104391774
32	BGM-0058	3.09791179270114	3.25346467664626	3.27287427618752	1.42686066148163	3.36959179450856	8.32250228671012	1.8305062610607	7.31080325066569	34.1155427599171	33.2625117089958	30.6786348488337
33	BGM-0060	3.13013049314718	3.28240948116494	3.29813306858423	1.36268964740968	2.44129110191649	7.55756012937725	1.83296342427456	6.21382529712804	35.0924591160354	16.7673599197625	16.8456344314276
34	BGM-0061	3.13013049314718	3.36924389472098	3.37390944577435	1.66215437974543	2.38215943355868	7.06364533255207	1.78669311192352	5.58279646195119	35.7142927818926	14.3330465494094	20.4980782819487
35	BGM-0062	3.1462398433702	3.32582668794296	3.33602125717929	1.44825099950561	2.28832485312063	6.86062002997687	1.82306860480428	4.65929091786976	33.448162982814	12.8083385327745	14.7612215413264
36	BGM-0063	3.19456789403927	3.35477149246164	3.36128004957599	1.31990897136172	1.96320144676848	7.74515738519144	1.82964895657224	5.11049220987358	34.0164851603742	17.628137103188	19.8202131219901
37	BGM-0065	3.21067724426229	3.35477149246164	3.36128004957599	1.49103167555357	2.70117820548406	8.00142455381162	1.78921143081865	6.27806267565582	35.330220370234	22.7071703539834	22.0776658275748
38	BGM-0066	3.22678659448531	3.22451987212758	3.24761548379082	1.36268964740968	2.58843752215222	5.8435241817047	1.8171806921516	4.73288992637111	34.2449187225823	8.79082211864264	18.5490097678728
