PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Anth,-0.205642195598974,-0.389137614081523,0.048366200281707,-0.096958580817085,-0.0674676467675465,0.323551144867741,-0.731911091433969,-0.332382615567714,0.195420307363671,0.0296096059442027,0.00823699440704302
BlLS,-0.272994748350665,-0.465185568224635,-0.0367375073576463,0.0836814911901356,-0.0111345777894394,-0.0742805774001548,0.375889689979149,-0.22268411590438,-0.0433012006720246,-0.0088377566460109,0.708694617336314
BrLS,-0.272785008374241,-0.464509338089331,-0.0439466052171529,0.0769404471383652,-0.00801306084812071,-0.0846651072477838,0.371294621283326,-0.24368989691996,-0.019798796516354,0.000582252792089517,-0.70505254766725
WhLS,-0.217276538307658,-0.412201772685537,-0.132063336192949,-0.0299597663019659,0.0757367395060934,-0.0781532013980972,-0.174180730363278,0.845079073312981,-0.0877023299820161,-0.0189493446441055,-0.0122463139249715
Vigor,0.342106095635862,-0.173848717314408,-0.0555705008730169,0.206520763330633,0.703309316032116,0.129229165863233,0.0878364693328427,0.0233498313486548,0.534117779358506,-0.0453170203168395,0.00781477508166793
NR,0.281008967457956,-0.186054441828511,0.476959610985471,0.0814233662872707,-0.270376984737393,0.671546494576343,0.260882925758842,0.194652038892544,-0.068911384500341,0.131784214982221,-0.0124050841158011
RF,0.188520796780609,-0.0516986583308492,-0.252435045650147,0.869331414597938,-0.318348665659299,-0.0701075567248485,-0.170930840452635,-0.00452005202894997,-0.0415139883239949,-0.0713554824004887,-0.00358547185293633
DRY,0.407673154185378,-0.239672176752756,-0.00631302373333234,-0.192115780149105,-0.313634302842577,-0.420023513423746,-0.0180681120260238,0.0109744176919835,0.303174234577641,0.610010498299135,0.0122871064553831
DMC,0.195097522742138,-0.0347993506431606,-0.764716049351061,-0.310264461654135,-0.262737466128056,0.367841018597503,0.164158053567763,0.00222542911535895,0.118218580981668,-0.185471519417207,0.0022719933275632
PTR,0.408312292395229,-0.267616914889721,0.266523758063696,-0.185951327237076,-0.168718606470085,-0.302707011248721,-0.0637761011576193,-0.0332487712319416,-0.00342882461165165,-0.728532026693472,-0.00289889259517536
PPA,0.398801098848888,-0.220703725583194,-0.163620383753688,-0.0633318065057568,0.352940326323697,0.0239312881726587,-0.135942119161411,-0.163414327626507,-0.744443563916046,0.192098999546779,-0.0065324695127172
