Anth,BlLS,BrLS,WhLS,Vigor,NR,RF,DRY,DMC,PTR,PPA
Anth,1,0.576306759423956,0.579439592427831,0.53263188197613,-0.040315886659603,0.0792799495215103,-0.0923219683250846,-0.00426741223347417,-0.0603494243124453,0.0549958730225599,0.00952422053475253
BlLS,0.576306759423956,1,0.961014827666217,0.648371305548312,-0.0356506773346388,0.0099798264266688,-0.0346576152361319,-0.0144743947950151,-0.0972770543979644,0.00815458420414209,-0.0337271591051058
BrLS,0.579439592427831,0.961014827666217,1,0.642167739065517,-0.0325179598057106,-0.00257814371998227,-0.0389043560023923,-0.00914445254613364,-0.0925450613283568,0.00772330253792667,-0.0362452647990183
WhLS,0.53263188197613,0.648371305548312,0.642167739065517,1,0.00159030865953738,-0.0339585430789883,-0.0528694324225387,0.023179969913149,-0.0236514196847551,0.0229510612159699,0.023870063015246
Vigor,-0.040315886659603,-0.0356506773346388,-0.0325179598057106,0.00159030865953738,1,0.308994603945682,0.229084851007743,0.387384415143799,0.140383340051825,0.41577360299918,0.577047455906901
NR,0.0792799495215103,0.0099798264266688,-0.00257814371998227,-0.0339585430789883,0.308994603945682,1,0.129739563684398,0.364950482252932,0.0120440670443914,0.51278346996314,0.317097261519865
RF,-0.0923219683250846,-0.0346576152361319,-0.0389043560023923,-0.0528694324225387,0.229084851007743,0.129739563684398,1,0.196880708009344,0.0998421217501617,0.118465823856745,0.18622539697814
DRY,-0.00426741223347417,-0.0144743947950151,-0.00914445254613364,0.023179969913149,0.387384415143799,0.364950482252932,0.196880708009344,1,0.294852257713532,0.797695259788193,0.518393368244776
DMC,-0.0603494243124453,-0.0972770543979644,-0.0925450613283568,-0.0236514196847551,0.140383340051825,0.0120440670443914,0.0998421217501617,0.294852257713532,1,0.0930651256692141,0.303236976814098
PTR,0.0549958730225599,0.00815458420414209,0.00772330253792667,0.0229510612159699,0.41577360299918,0.51278346996314,0.118465823856745,0.797695259788193,0.0930651256692141,1,0.584755426106023
PPA,0.00952422053475253,-0.0337271591051058,-0.0362452647990183,0.023870063015246,0.577047455906901,0.317097261519865,0.18622539697814,0.518393368244776,0.303236976814098,0.584755426106023,1
